"pure-name" global-time depth color-temp color-tint 
DSC03152 1409983089 5.95 9009 167  
DSC03153 1409983185 5.48 8872 164  
DSC03154 1409983222 5.53 8909 165  
DSC03155 1409983240 5.8 8974 166  
DSC03158 1409983564 7.24 9165 185  
DSC03162 1409984217 5.45 8846 163  
DSC03163 1409984437 6.93 9150 179  
DSC03164 1409984443 6.95 9151 179  
DSC03165 1409984457 7.16 9161 184  
DSC03167 1409984544 7.40 9170 187  
DSC03168 1409984547 7.40 9170 187  
DSC03170 1409984705 6.42 9121 169  
DSC03171 1409984709 6.52 9130 171  
DSC03172 1409984815 5.22 8644 158  
DSC03173 1409984817 5.17 8600 157  
DSC03174 1409984820 5.1 8539 155  
DSC03176 1409984956 6.14 9055 168  
DSC03177 1409984968 6.10 9045 168  
DSC03178 1409985004 5.88 8993 167  
DSC03181 1409985164 7.32 9168 186  
DSC03184 1409986228 3.28 7253 119  
DSC03185 1409986234 3.34 7269 119  
