"pure-name" global-time depth color-temp color-tint 
DSC03152 1409983089 5.95 43777 0.3004 1.0000 
DSC03153 1409983185 5.48 41000 0.3122 1.0000 
DSC03154 1409983222 5.53 41296 0.3109 1.0000 
DSC03155 1409983240 5.8 42891 0.3041 1.0000 
DSC03158 1409983564 7.24 59364 0.2185 1.0000 
DSC03162 1409984217 5.45 40823 0.3130 1.0000 
DSC03163 1409984437 6.93 54446 0.2454 1.0000 
DSC03164 1409984443 6.95 54763 0.2437 1.0000 
DSC03165 1409984457 7.16 58095 0.2254 1.0000 
DSC03167 1409984544 7.40 60951 0.2098 1.0000 
DSC03168 1409984547 7.40 60951 0.2098 1.0000 
DSC03170 1409984705 6.42 46553 0.2885 1.0000 
DSC03171 1409984709 6.52 47940 0.2810 1.0000 
DSC03172 1409984815 5.22 38370 0.3293 1.0000 
DSC03173 1409984817 5.17 37292 0.3381 1.0000 
DSC03174 1409984820 5.1 35784 0.3505 1.0000 
DSC03176 1409984956 6.14 44899 0.2956 1.0000 
DSC03177 1409984968 6.10 44663 0.2966 1.0000 
DSC03178 1409985004 5.88 43363 0.3021 1.0000 
DSC03181 1409985164 7.32 60316 0.2133 1.0000 
DSC03184 1409986228 4.30 18545 0.4914 1.0000 
DSC03185 1409986234 4.30 18545 0.4914 1.0000 
