"pure-name" global-time min-depth max-depth estimated-depth depth 
DSC03152 1409983089 5.9 6.0 5.95 5.95 
DSC03153 1409983185 5.4 5.7 5.48 5.48 
DSC03154 1409983222 5.5 5.8 5.53 5.53 
DSC03155 1409983240 5.8 5.8 5.8 5.8 
DSC03158 1409983564 7.2 7.4 7.24 7.24 
DSC03162 1409984217 5.4 5.7 5.45 5.45 
DSC03163 1409984437 6.9 7.1 6.93 6.93 
DSC03164 1409984443 6.9 7.2 6.95 6.95 
DSC03165 1409984457 6.9 7.2 7.16 7.16 
DSC03167 1409984544 7.4 7.4 7.40 7.40 
DSC03168 1409984547 7.4 7.4 7.40 7.40 
DSC03170 1409984705 6.3 6.8 6.42 6.42 
DSC03171 1409984709 6.3 6.8 6.52 6.52 
DSC03172 1409984815 5.1 5.6 5.22 5.22 
DSC03173 1409984817 5.1 5.6 5.17 5.17 
DSC03174 1409984820 5.1 5.1 5.1 5.1 
DSC03176 1409984956 5.5 6.3 6.14 6.14 
DSC03177 1409984968 5.8 6.3 6.10 6.10 
DSC03178 1409985004 5.8 6.2 5.88 5.88 
DSC03181 1409985164 7.3 7.4 7.32 7.32 
DSC03184 1409986228 3.2 3.4 3.28 4.30 
DSC03185 1409986234 3.2 3.4 3.34 4.30 
