"pure-name" global-time depth color-temp color-tint1 color-tint2 
DSC03150 1409982971 4.7 6278 1.0080 1.0000 
DSC03151 1409983050 6.25 59999 0.2340 1.0000 
DSC03156 1409983252 6.10 59999 0.2250 1.0000 
DSC03157 1409983431 7.26 59999 0.2030 1.2000 
DSC03159 1409983592 7.58 59999 0.2030 1.2000 
DSC03160 1409983862 7.41 58844 0.1900 1.1400 
DSC03161 1409984182 5.52 40182 0.3080 1.0000 
DSC03166 1409984465 7.28 59999 0.2150 1.0000 
DSC03169 1409984571 7.18 59999 0.2000 1.0000 
DSC03175 1409984833 5.29 39878 0.3170 1.0000 
DSC03179 1409985032 6.44 46671 0.2880 1.0000 
DSC03180 1409985157 7.24 59999 0.2150 1.0000 
DSC03182 1409985590 7.00 59999 0.2000 1.1000 
DSC03183 1409985763 5.92 38378 0.2790 1.0000 
DSC03186 1409986284 3.78 7340 0.5830 1.0000 
