"pure-name" global-time depth color-temp color-tint1 color-tint2 
DSC03150 1409982971 4.7 6993 67 -1 
DSC03151 1409983050 6.25 9464 173 -1 
DSC03156 1409983252 6.10 9519 170 -1 
DSC03157 1409983431 7.26 9747 192 -1 
DSC03159 1409983592 7.58 9698 196 -1 
DSC03160 1409983862 7.41 9559 195 -1 
DSC03161 1409984182 5.52 8907 165 -1 
DSC03166 1409984465 7.28 9167 186 -1 
DSC03169 1409984571 7.18 9409 191 -1 
DSC03175 1409984833 5.29 8660 172 -1 
DSC03179 1409985032 6.44 9126 169 -1 
DSC03180 1409985157 7.24 9520 184 -1 
DSC03182 1409985590 7.00 9801 184 -1 
DSC03183 1409985763 5.92 8610 175 -1 
DSC03186 1409986284 3.78 7381 123 -1 
DSC03189 1410681511 3.24 9014 124 -1 
DSC03195 1410681679 5.07 9158 145 -1 
DSC03196 1410681766 10.99 12276 190 -1 
DSC03198 1410681792 13.10 12392 198 -1 
DSC03200 1410681829 15.40 13864 201 -1 
DSC03201 1410681907 18.52 15201 204 -1 
DSC03203 1410681961 20.81 16067 202 -1 
DSC03212 1410682131 19.55 16138 202 -1 
DSC03214 1410682251 16.56 14666 200 -1 
DSC03224 1410682402 13.58 13629 196 -1 
DSC03225 1410682529 9.05 10973 186 -1 
DSC03228 1410682642 6.92 9953 170 -1 
DSC03233 1410682726 6.31 9237 157 -1 
DSC03236 1410682794 4.01 8703 137 -1 
DSC03239 1410682867 4.76 8996 143 -1 
DSC03242 1410682991 3.20 8106 128 -1 
