pure-name global-time depth color-temp color-tint1 color-tint2 
DSC03242 1410682991 3.20 11920 0.5990 1.0000 
DSC03189 1410681511 3.24 19502 0.5750 1.0000 
DSC03186 1409986284 3.78 7340 0.5830 1.0000 
DSC03236 1410682794 4.01 15236 0.5230 1.0000 
DSC03150 1409982971 4.7 6278 1.0080 1.0000 
DSC03239 1410682867 4.76 28816 0.4510 1.0000 
DSC03195 1410681679 5.07 31049 0.4370 1.0000 
DSC03175 1409984833 5.29 39878 0.3170 1.0000 
DSC03161 1409984182 5.52 40182 0.3080 1.0000 
DSC03183 1409985763 5.92 38378 0.2790 1.0000 
DSC03156 1409983252 6.10 59999 0.2250 1.0000 
DSC03151 1409983050 6.25 59999 0.2340 1.0000 
DSC03233 1410682726 6.31 38691 0.3640 1.0000 
DSC03179 1409985032 6.44 46671 0.2880 1.0000 
DSC03228 1410682642 6.92 10317 0.5690 1.3000 
DSC03182 1409985590 7.00 59999 0.2000 1.1000 
DSC03169 1409984571 7.18 59999 0.2000 1.0000 
DSC03180 1409985157 7.24 59999 0.2150 1.0000 
DSC03157 1409983431 7.26 59999 0.2030 1.2000 
DSC03166 1409984465 7.28 59999 0.2150 1.0000 
DSC03160 1409983862 7.41 58844 0.1900 1.1400 
DSC03159 1409983592 7.58 59999 0.2030 1.2000 
DSC03225 1410682529 9.05 10317 0.5690 1.4000 
DSC03196 1410681766 10.99 10317 0.5690 1.5000 
DSC03198 1410681792 13.10 15848 0.4760 1.5000 
DSC03224 1410682402 13.58 26972 0.4520 1.5000 
DSC03200 1410681829 15.40 31769 0.4200 1.5000 
DSC03214 1410682251 16.56 48054 0.3440 1.5000 
DSC03201 1410681907 18.52 59999 0.2840 1.5000 
DSC03212 1410682131 19.55 59999 0.3070 1.5000 
DSC03203 1410681961 20.81 59999 0.3150 1.5000 
