"pure-name" global-time min-depth max-depth estimated-depth depth 
DSC03190 1410681599 4.1 4.5 4.48 4.48 
DSC03191 1410681611 4.5 4.7 4.61 4.61 
DSC03192 1410681642 4.4 4.6 4.42 4.42 
DSC03193 1410681646 4.4 4.6 4.46 4.46 
DSC03194 1410681648 4.4 4.6 4.48 4.48 
DSC03197 1410681788 11.9 13.9 12.70 12.70 
DSC03199 1410681813 13.9 14.5 14.29 14.29 
DSC03202 1410681926 19.1 20.0 19.37 19.37 
DSC03204 1410681980 20.9 20.9 20.9 20.9 
DSC03205 1410681981 20.5 20.9 20.88 20.88 
DSC03206 1410681984 20.5 20.9 20.82 20.82 
DSC03207 1410681998 20.5 20.9 20.54 20.54 
DSC03208 1410682090 20.8 21.0 20.90 20.90 
DSC03209 1410682092 20.8 21.0 20.92 20.92 
DSC03210 1410682093 20.8 21.0 20.93 20.93 
DSC03211 1410682124 19.1 20.1 19.90 19.90 
DSC03213 1410682149 18.1 19.1 18.65 18.65 
DSC03215 1410682295 15.6 16.1 15.73 15.73 
DSC03216 1410682316 14.8 15.6 14.96 14.96 
DSC03217 1410682328 14.8 14.9 14.84 14.84 
DSC03218 1410682355 14.0 14.9 14.23 14.23 
DSC03219 1410682379 13.6 14.0 13.62 13.62 
DSC03220 1410682384 13.5 13.6 13.58 13.58 
DSC03221 1410682392 13.5 13.6 13.54 13.54 
DSC03222 1410682393 13.5 13.6 13.54 13.54 
DSC03223 1410682397 13.5 13.6 13.52 13.52 
DSC03226 1410682609 6.7 6.9 6.79 6.79 
DSC03227 1410682613 6.7 6.9 6.83 6.83 
DSC03229 1410682707 6.7 7.0 6.90 6.90 
DSC03230 1410682710 6.7 7.0 6.85 6.85 
DSC03231 1410682712 6.7 7.0 6.82 6.82 
DSC03232 1410682714 6.7 7.0 6.79 6.79 
DSC03234 1410682781 3.8 4.5 4.46 4.46 
DSC03235 1410682784 3.8 4.5 4.36 4.36 
DSC03237 1410682830 4.2 4.8 4.50 4.50 
DSC03238 1410682832 4.2 4.8 4.56 4.56 
DSC03240 1410682879 4.7 4.8 4.71 4.71 
DSC03241 1410682894 4.7 4.8 4.77 4.77 
DSC03243 1410682997 3.2 3.2 3.20 3.20 
DSC03244 1410683014 2.9 3.2 2.99 2.99 
