pure-name global-time depth color-temp color-tint1 color-tint2 
DSC03246 1410765595 3.20 7332 96 -1 
DSC03186 1409986284 3.78 7381 123 -1 
DSC03321 1410767505 4.33 8783 138 -1 
DSC03248 1410765671 5.18 9174 145 -1 
DSC03233 1410682726 6.31 9237 157 -1 
DSC03228 1410682642 6.92 9953 170 -1 
DSC03298 1410767123 7.59 11517 175 -1 
DSC03297 1410767000 8.7 11924 177 -1 
DSC03293 1410766866 9.61 12250 181 -1 
DSC03289 1410766780 10.9 12539 193 -1 
DSC03286 1410766718 11.77 12819 194 -1 
DSC03224 1410682402 13.58 13629 196 -1 
DSC03282 1410766537 14.33 14224 198 -1 
DSC03214 1410682251 16.56 14666 200 -1 
DSC03212 1410682131 19.55 16138 202 -1 
DSC03267 1410766090 23.80 17844 202 -1 
