"pure-name" global-time depth color-temp color-tint 
DSC03247 1410765618 4.03 8018 130  
DSC03250 1410765732 8.64 11902 177  
DSC03251 1410765755 10.45 12438 189  
DSC03253 1410765778 12.42 13110 195  
DSC03254 1410765828 15.50 14456 199  
DSC03256 1410765890 19.10 15916 202  
DSC03257 1410765893 19.22 15976 202  
DSC03259 1410765960 21.1 16760 202  
DSC03260 1410765970 21.25 16820 202  
DSC03262 1410766000 21.7 17001 202  
DSC03263 1410766002 21.78 17033 202  
DSC03264 1410766014 22.26 17226 202  
DSC03265 1410766017 22.38 17274 202  
DSC03266 1410766084 23.80 17844 202  
DSC03268 1410766119 23.99 17882 202  
DSC03270 1410766251 18.73 15734 201  
DSC03272 1410766286 19.05 15892 202  
DSC03273 1410766324 18.72 15729 201  
DSC03274 1410766330 18.00 15375 201  
DSC03276 1410766432 15.58 14472 199  
DSC03277 1410766461 15.31 14418 199  
DSC03278 1410766473 15.37 14430 199  
DSC03279 1410766477 15.39 14434 199  
DSC03281 1410766533 14.51 14260 198  
DSC03284 1410766671 12.50 13146 195  
DSC03285 1410766683 12.48 13137 195  
DSC03287 1410766770 11.05 12587 193  
DSC03288 1410766776 10.96 12558 193  
DSC03290 1410766833 9.60 12246 181  
DSC03291 1410766835 9.60 12246 181  
DSC03292 1410766849 9.64 12257 181  
DSC03294 1410766980 8.6 11887 177  
DSC03295 1410766984 8.62 11895 177  
DSC03296 1410766991 8.65 11906 177  
DSC03299 1410767150 7.55 11424 175  
DSC03300 1410767195 6.75 9753 166  
DSC03301 1410767223 6.55 9519 162  
DSC03304 1410767282 7.29 10817 173  
DSC03305 1410767283 7.29 10817 173  
DSC03306 1410767285 7.28 10793 173  
DSC03307 1410767286 7.27 10770 173  
DSC03308 1410767288 7.26 10747 173  
DSC03310 1410767302 7.17 10537 172  
DSC03311 1410767311 7.04 10233 171  
DSC03312 1410767316 6.96 10046 170  
DSC03313 1410767318 6.93 9976 170  
DSC03314 1410767319 6.92 9953 170  
DSC03315 1410767424 4.90 9045 143  
DSC03316 1410767446 4.78 8990 142  
DSC03318 1410767490 4.50 8861 139  
DSC03319 1410767493 4.50 8861 139  
DSC03320 1410767499 4.50 8861 139  
DSC03322 1410767526 3.83 7508 124  
DSC03323 1410767622 4.30 8707 137  
DSC03325 1410767636 4.30 8707 137  
DSC03326 1410767638 4.30 8707 137  
DSC03327 1410767640 4.3 8707 137  
DSC03328 1410767644 4.18 8401 134  
DSC03329 1410767646 4.12 8248 132  
DSC03331 1410767689 3.49 7357 110  
DSC03332 1410767694 3.54 7361 112  
DSC03334 1410767761 3.39 7348 105  
DSC03335 1410767763 3.37 7346 104  
DSC03337 1410767811 2.63 7187 95  
DSC03338 1410767869 2.46 7143 94  
DSC03339 1410767870 2.45 7141 94  
