pure-name global-time depth color-temp color-tint 
#DSC03336 1410767791 3.035 8954 131 
DSC03246 1410765595 3.2 7332 96 
#DSC03333 1410767703 3.6 8712 132 
#DSC03330 1410767666 3.6100000000000003 8992 139 
#DSC03324 1410767629 4.3 9213 142 
DSC03321 1410767505 4.325 8783 138 
#DSC03317 1410767462 4.5 9449 149 
DSC03248 1410765671 5.185 9174 145 
#DSC03303 1410767232 6.42 11850 175 
#DSC03302 1410767229 6.465 11744 176 
#DSC03309 1410767296 7.22 10534 171 
#DSC03249 1410765715 7.225 10544 162 
DSC03298 1410767123 7.585 11517 175 
DSC03297 1410767000 8.7 11924 177 
DSC03293 1410766866 9.61 12250 181 
DSC03289 1410766780 10.9 12539 193 
#DSC03252 1410765763 11.07 11365 181 
#DSC03283 1410766610 11.7 12624 192 
DSC03286 1410766718 11.77 12819 194 
#DSC03282 1410766537 14.334999999999999 14224 198 
DSC03280 1410766482 15.39 14148 198 
#DSC03255 1410765831 15.725 14512 197 
#DSC03275 1410766357 16.545 14346 203 
#DSC03271 1410766258 18.240000000000002 16465 198 
DSC03258 1410765926 20.59 16400 198 
#DSC03269 1410766204 21.220000000000002 18341 199 
DSC03261 1410765981 21.415 16930 201 
DSC03267 1410766090 23.8 17844 202 
