pure-name global-time depth color-temp color-tint1 color-tint2 
DSC03409 1410852874 5.58 10994 168 -1 
DSC03407 1410852837 6.57 10944 187 -1 
DSC03341 1410851038 10.89 9171 141 -1 
DSC03403 1410852585 12.98 13446 199 -1 
DSC03401 1410852359 14.08 16078 196 -1 
DSC03402 1410852426 15.20 17694 186 -1 
DSC03342 1410851228 17.50 16537 195 -1 
DSC03345 1410851286 19.88 15549 203 -1 
DSC03363 1410851639 20.10 16907 202 -1 
DSC03389 1410852140 20.2 16367 206 -1 
DSC03370 1410851783 20.85 17925 197 -1 
DSC03351 1410851450 21.25 16992 204 -1 
DSC03356 1410851562 21.27 16589 205 -1 
DSC03383 1410852024 21.72 18471 198 -1 
DSC03379 1410851992 23.20 18084 201 -1 
DSC03376 1410851909 23.34 17518 202 -1 
