"pure-name" global-time depth color-temp color-tint 
DSC03343 1410851281 19.73 17879 195  
DSC03344 1410851282 19.76 17880 195  
DSC03346 1410851366 20.33 17904 196  
DSC03349 1410851389 20.42 17907 196  
DSC03350 1410851439 21.63 18415 198  
DSC03352 1410851508 21.32 18220 198  
DSC03353 1410851527 21.57 18377 198  
DSC03355 1410851556 21.30 18207 198  
DSC03357 1410851575 21.72 18471 198  
DSC03358 1410851587 21.76 18484 198  
DSC03359 1410851600 21.5 18333 198  
DSC03361 1410851618 20.15 17896 196  
DSC03362 1410851627 20.04 17892 195  
DSC03364 1410851658 20.28 17902 196  
DSC03365 1410851677 21.32 18220 198  
DSC03366 1410851728 21.54 18358 198  
DSC03367 1410851738 21.09 18076 197  
DSC03368 1410851767 21.19 18138 197  
DSC03369 1410851770 21.10 18082 197  
DSC03371 1410851809 21.06 18057 197  
DSC03372 1410851855 22.13 18600 198  
DSC03373 1410851881 22.32 18659 198  
DSC03374 1410851900 22.8 18810 199  
DSC03375 1410851903 22.98 18866 199  
DSC03377 1410851930 23.55 19045 199  
DSC03378 1410851989 23.35 18982 199  
DSC03380 1410852007 22.41 18688 198  
DSC03381 1410852013 22.09 18587 198  
DSC03382 1410852014 22.03 18568 198  
DSC03384 1410852117 20.54 17912 196  
DSC03385 1410852125 20.35 17905 196  
DSC03386 1410852131 20.29 17902 196  
DSC03387 1410852134 20.26 17901 196  
DSC03388 1410852137 20.23 17900 196  
DSC03390 1410852165 19.68 17877 195  
DSC03391 1410852201 19.19 17857 194  
DSC03392 1410852229 18.68 17836 193  
DSC03393 1410852268 17.26 17778 190  
DSC03394 1410852284 16.82 17760 189  
DSC03395 1410852287 16.76 17758 189  
DSC03396 1410852311 16.39 17743 188  
DSC03397 1410852336 15.74 17716 187  
DSC03398 1410852339 15.64 17712 187  
DSC03399 1410852353 14.56 17248 185  
DSC03400 1410852357 14.24 17025 184  
DSC03404 1410852592 12.94 16120 182  
DSC03405 1410852599 12.91 16099 182  
DSC03406 1410852833 6.79 11837 170  
DSC03408 1410852858 6.04 11314 169  
DSC03410 1410852910 5.60 11008 168  
