pure-name global-time depth color-temp color-tint1 color-tint2 
DSC03336 1410767791 3.04 8954 131 -1 
DSC03242 1410682991 3.20 8106 128 -1 
DSC03246 1410765595 3.20 7332 96 -1 
DSC03189 1410681511 3.24 9014 124 -1 
DSC03333 1410767703 3.60 8712 132 -1 
DSC03330 1410767666 3.61 8992 139 -1 
DSC03186 1409986284 3.78 7381 123 -1 
DSC03236 1410682794 4.01 8703 137 -1 
DSC03324 1410767629 4.30 9213 142 -1 
DSC03321 1410767505 4.33 8783 138 -1 
DSC03317 1410767462 4.50 9449 149 -1 
DSC03150 1409982971 4.7 6993 67 -1 
DSC03239 1410682867 4.76 8996 143 -1 
DSC03195 1410681679 5.07 9158 145 -1 
DSC03248 1410765671 5.18 9174 145 -1 
DSC03175 1409984833 5.29 8660 172 -1 
DSC03161 1409984182 5.52 8907 165 -1 
DSC03409 1410852874 5.58 10994 168 -1 
DSC03183 1409985763 5.92 8610 175 -1 
DSC03156 1409983252 6.10 9519 170 -1 
DSC03151 1409983050 6.25 9464 173 -1 
DSC03233 1410682726 6.31 9237 157 -1 
DSC03303 1410767232 6.42 11850 175 -1 
DSC03179 1409985032 6.44 9126 169 -1 
DSC03302 1410767229 6.46 11744 176 -1 
DSC03407 1410852837 6.57 10944 187 -1 
DSC03228 1410682642 6.92 9953 170 -1 
DSC03182 1409985590 7.00 9801 184 -1 
DSC03169 1409984571 7.18 9409 191 -1 
DSC03249 1410765715 7.22 10544 162 -1 
DSC03309 1410767296 7.22 10534 171 -1 
DSC03180 1409985157 7.24 9520 184 -1 
DSC03157 1409983431 7.26 9747 192 -1 
DSC03166 1409984465 7.28 9167 186 -1 
DSC03160 1409983862 7.41 9559 195 -1 
DSC03159 1409983592 7.58 9698 196 -1 
DSC03298 1410767123 7.59 11517 175 -1 
DSC03297 1410767000 8.7 11924 177 -1 
DSC03225 1410682529 9.05 10973 186 -1 
DSC03293 1410766866 9.61 12250 181 -1 
DSC03341 1410851038 10.89 9171 141 -1 
DSC03289 1410766780 10.9 12539 193 -1 
DSC03196 1410681766 10.99 12276 190 -1 
DSC03252 1410765763 11.07 11365 181 -1 
DSC03283 1410766610 11.70 12624 192 -1 
DSC03286 1410766718 11.77 12819 194 -1 
DSC03403 1410852585 12.98 13446 199 -1 
DSC03198 1410681792 13.10 12392 198 -1 
DSC03224 1410682402 13.58 13629 196 -1 
DSC03401 1410852359 14.08 16078 196 -1 
DSC03282 1410766537 14.33 14224 198 -1 
DSC03402 1410852426 15.20 17694 186 -1 
DSC03280 1410766482 15.39 14148 198 -1 
DSC03200 1410681829 15.40 13864 201 -1 
DSC03255 1410765831 15.73 14512 197 -1 
DSC03275 1410766357 16.55 14346 203 -1 
DSC03214 1410682251 16.56 14666 200 -1 
DSC03342 1410851228 17.50 16537 195 -1 
DSC03271 1410766258 18.24 16465 198 -1 
DSC03201 1410681907 18.52 15201 204 -1 
DSC03212 1410682131 19.55 16138 202 -1 
DSC03345 1410851286 19.88 15549 203 -1 
DSC03363 1410851639 20.10 16907 202 -1 
DSC03389 1410852140 20.2 16367 206 -1 
DSC03258 1410765926 20.59 16400 198 -1 
DSC03203 1410681961 20.81 16067 202 -1 
DSC03370 1410851783 20.85 17925 197 -1 
DSC03269 1410766204 21.22 18341 199 -1 
DSC03351 1410851450 21.25 16992 204 -1 
DSC03356 1410851562 21.27 16589 205 -1 
DSC03261 1410765981 21.41 16930 201 -1 
DSC03383 1410852024 21.72 18471 198 -1 
DSC03379 1410851992 23.20 18084 201 -1 
DSC03376 1410851909 23.34 17518 202 -1 
DSC03267 1410766090 23.80 17844 202 -1 
