"pure-name" global-time depth color-temp color-tint 
DSC03343 1410851281 19.73 16390 202  
DSC03344 1410851282 19.76 16432 202  
DSC03346 1410851366 20.33 16950 202  
DSC03349 1410851389 20.42 16967 202  
DSC03350 1410851439 21.63 17196 202  
DSC03352 1410851508 21.32 17137 202  
DSC03353 1410851527 21.57 17184 202  
DSC03355 1410851556 21.30 17133 202  
DSC03357 1410851575 21.72 17213 202  
DSC03358 1410851587 21.76 17220 202  
DSC03359 1410851600 21.5 17171 202  
DSC03361 1410851618 20.15 16916 202  
DSC03362 1410851627 20.04 16823 202  
DSC03364 1410851658 20.28 16941 202  
DSC03365 1410851677 21.32 17137 202  
DSC03366 1410851728 21.54 17179 202  
DSC03367 1410851738 21.09 17094 202  
DSC03368 1410851767 21.19 17113 202  
DSC03369 1410851770 21.10 17096 202  
DSC03371 1410851809 21.06 17088 202  
DSC03372 1410851855 22.13 17290 202  
DSC03373 1410851881 22.32 17326 202  
DSC03374 1410851900 22.8 17416 202  
DSC03375 1410851903 22.98 17450 202  
DSC03377 1410851930 23.55 17538 202  
DSC03378 1410851989 23.35 17519 202  
DSC03380 1410852007 22.41 17343 202  
DSC03381 1410852013 22.09 17282 202  
DSC03382 1410852014 22.03 17271 202  
DSC03384 1410852117 20.54 16990 202  
DSC03385 1410852125 20.35 16954 202  
DSC03386 1410852131 20.29 16943 202  
DSC03387 1410852134 20.26 16937 202  
DSC03388 1410852137 20.23 16932 202  
DSC03390 1410852165 19.68 16320 202  
DSC03391 1410852201 19.19 15961 202  
DSC03392 1410852229 18.68 15710 201  
DSC03393 1410852268 17.26 15011 200  
DSC03394 1410852284 16.82 14794 200  
DSC03395 1410852287 16.76 14764 200  
DSC03396 1410852311 16.39 14632 200  
DSC03397 1410852336 15.74 14503 199  
DSC03398 1410852339 15.64 14484 199  
DSC03399 1410852353 14.56 14270 198  
DSC03400 1410852357 14.24 14153 198  
DSC03404 1410852592 12.94 13343 195  
DSC03405 1410852599 12.91 13329 195  
DSC03406 1410852833 6.79 9800 167  
DSC03408 1410852858 6.04 9222 154  
DSC03410 1410852910 5.60 9197 149  
