"pure-name" global-time depth color-temp color-tint1 color-tint2 
DSC03341 1410851038 10.89 9073 0.6690 1.2000 
DSC03342 1410851228 17.50 39459 0.4310 1.5000 
DSC03345 1410851286 19.88 59999 0.3030 1.5000 
DSC03351 1410851450 21.25 59999 0.3450 1.5000 
DSC03356 1410851562 21.27 59999 0.3410 1.5000 
DSC03363 1410851639 20.10 59999 0.3360 1.5000 
DSC03370 1410851783 20.85 59999 0.3440 1.5000 
DSC03376 1410851909 23.34 59999 0.3470 1.5000 
DSC03379 1410851992 23.20 59999 0.3520 1.5000 
DSC03383 1410852024 21.72 59999 0.3620 1.5000 
DSC03389 1410852140 20.2 59999 0.3330 1.5000 
DSC03401 1410852359 14.08 40465 0.4010 1.5000 
DSC03402 1410852426 15.20 27426 0.5670 1.5000 
DSC03403 1410852585 12.98 27481 0.4500 1.5000 
DSC03407 1410852837 6.57 44066 0.3700 1.2000 
DSC03409 1410852874 5.58 44066 0.3700 1.2000 
