"pure-name" global-time min-depth max-depth estimated-depth depth 
DSC03343 1410851281 19.7 20.3 19.73 19.73 
DSC03344 1410851282 19.7 20.3 19.76 19.76 
DSC03346 1410851366 19.7 20.6 20.33 20.33 
DSC03349 1410851389 19.7 21.3 20.42 20.42 
DSC03350 1410851439 21.6 22.2 21.63 21.63 
DSC03352 1410851508 21.2 21.5 21.32 21.32 
DSC03353 1410851527 21.5 21.7 21.57 21.57 
DSC03355 1410851556 21.2 21.7 21.30 21.30 
DSC03357 1410851575 21.2 21.9 21.72 21.72 
DSC03358 1410851587 21.5 21.9 21.76 21.76 
DSC03359 1410851600 21.5 21.5 21.5 21.5 
DSC03361 1410851618 20.0 21.5 20.15 20.15 
DSC03362 1410851627 20.0 20.1 20.04 20.04 
DSC03364 1410851658 20.1 20.3 20.28 20.28 
DSC03365 1410851677 20.3 21.5 21.32 21.32 
DSC03366 1410851728 21.0 21.9 21.54 21.54 
DSC03367 1410851738 21.0 21.9 21.09 21.09 
DSC03368 1410851767 20.8 21.4 21.19 21.19 
DSC03369 1410851770 20.8 21.4 21.10 21.10 
DSC03371 1410851809 21.0 21.1 21.06 21.06 
DSC03372 1410851855 21.9 22.2 22.13 22.13 
DSC03373 1410851881 22.3 22.8 22.32 22.32 
DSC03374 1410851900 22.8 22.8 22.8 22.8 
DSC03375 1410851903 22.8 24.0 22.98 22.98 
DSC03377 1410851930 23.1 24.0 23.55 23.55 
DSC03378 1410851989 22.8 23.8 23.35 23.35 
DSC03380 1410852007 21.7 22.8 22.41 22.41 
DSC03381 1410852013 21.7 22.8 22.09 22.09 
DSC03382 1410852014 21.7 22.8 22.03 22.03 
DSC03384 1410852117 20.4 21.3 20.54 20.54 
DSC03385 1410852125 20.2 20.4 20.35 20.35 
DSC03386 1410852131 20.2 20.4 20.29 20.29 
DSC03387 1410852134 20.2 20.4 20.26 20.26 
DSC03388 1410852137 20.2 20.4 20.23 20.23 
DSC03390 1410852165 19.6 19.7 19.68 19.68 
DSC03391 1410852201 19.0 19.2 19.19 19.19 
DSC03392 1410852229 18.3 19.0 18.68 18.68 
DSC03393 1410852268 16.9 17.5 17.26 17.26 
DSC03394 1410852284 16.5 16.9 16.82 16.82 
DSC03395 1410852287 16.5 16.9 16.76 16.76 
DSC03396 1410852311 16.3 16.5 16.39 16.39 
DSC03397 1410852336 15.6 16.3 15.74 15.74 
DSC03398 1410852339 15.6 16.3 15.64 15.64 
DSC03399 1410852353 14.0 15.6 14.56 14.56 
DSC03400 1410852357 14.0 15.6 14.24 14.24 
DSC03404 1410852592 12.9 13.0 12.94 12.94 
DSC03405 1410852599 12.9 13.0 12.91 12.91 
DSC03406 1410852833 6.4 7.5 6.79 6.79 
DSC03408 1410852858 6.0 6.4 6.04 6.04 
DSC03410 1410852910 5.6 5.6 5.60 5.60 
