"dive number","date","time","duration","depth","temperature","pressure"
"6","2014-09-16","10:02:00","0:20","3.2",,
"6","2014-09-16","10:02:00","0:40","2.7",,
"6","2014-09-16","10:02:00","1:00","3.8",,
"6","2014-09-16","10:02:00","1:20","5.5",,
"6","2014-09-16","10:02:00","1:40","9.0",,
"6","2014-09-16","10:02:00","2:00","11.1",,
"6","2014-09-16","10:02:00","2:20","12.6",,
"6","2014-09-16","10:02:00","2:40","13.5",,
"6","2014-09-16","10:02:00","3:00","13.9",,
"6","2014-09-16","10:02:00","3:20","13.4",,
"6","2014-09-16","10:02:00","3:40","15.0",,
"6","2014-09-16","10:02:00","4:00","16.5",,
"6","2014-09-16","10:02:00","4:20","16.6",,
"6","2014-09-16","10:02:00","4:40","16.2",,
"6","2014-09-16","10:02:00","5:00","17.1",,
"6","2014-09-16","10:02:00","5:20","18.1",,
"6","2014-09-16","10:02:00","5:40","19.3",,
"6","2014-09-16","10:02:00","6:00","19.7",,
"6","2014-09-16","10:02:00","6:20","20.3",,
"6","2014-09-16","10:02:00","6:40","20.6",,
"6","2014-09-16","10:02:00","7:00","20.8",,
"6","2014-09-16","10:02:00","7:20","20.6",,
"6","2014-09-16","10:02:00","7:40","19.7",,
"6","2014-09-16","10:02:00","8:00","21.3",,
"6","2014-09-16","10:02:00","8:20","22.2",,
"6","2014-09-16","10:02:00","8:40","21.6",,
"6","2014-09-16","10:02:00","9:00","20.9",,
"6","2014-09-16","10:02:00","9:20","20.9",,
"6","2014-09-16","10:02:00","9:40","21.2",,
"6","2014-09-16","10:02:00","10:00","21.5",,
"6","2014-09-16","10:02:00","10:20","21.7",,
"6","2014-09-16","10:02:00","10:40","21.2",,
"6","2014-09-16","10:02:00","11:00","21.9",,
"6","2014-09-16","10:02:00","11:20","21.5",,
"6","2014-09-16","10:02:00","11:40","20.0",,
"6","2014-09-16","10:02:00","12:00","20.1",,
"6","2014-09-16","10:02:00","12:20","20.3",,
"6","2014-09-16","10:02:00","12:40","21.5",,
"6","2014-09-16","10:02:00","13:00","21.8",,
"6","2014-09-16","10:02:00","13:20","21.9",,
"6","2014-09-16","10:02:00","13:40","21.0",,
"6","2014-09-16","10:02:00","14:00","21.4",,
"6","2014-09-16","10:02:00","14:20","20.8",,
"6","2014-09-16","10:02:00","14:40","21.1",,
"6","2014-09-16","10:02:00","15:00","21.0",,
"6","2014-09-16","10:02:00","15:20","21.9",,
"6","2014-09-16","10:02:00","15:40","22.2",,
"6","2014-09-16","10:02:00","16:00","22.3",,
"6","2014-09-16","10:02:00","16:20","22.8",,
"6","2014-09-16","10:02:00","16:40","24.0",,
"6","2014-09-16","10:02:00","17:00","23.1",,
"6","2014-09-16","10:02:00","17:20","24.0",,
"6","2014-09-16","10:02:00","17:40","23.8",,
"6","2014-09-16","10:02:00","18:00","22.8",,
"6","2014-09-16","10:02:00","18:20","21.7",,
"6","2014-09-16","10:02:00","18:40","21.8",,
"6","2014-09-16","10:02:00","19:00","21.7",,
"6","2014-09-16","10:02:00","19:20","21.1",,
"6","2014-09-16","10:02:00","19:40","21.3",,
"6","2014-09-16","10:02:00","20:00","20.4",,
"6","2014-09-16","10:02:00","20:20","20.2",,
"6","2014-09-16","10:02:00","20:40","19.7",,
"6","2014-09-16","10:02:00","21:00","19.6",,
"6","2014-09-16","10:02:00","21:20","19.2",,
"6","2014-09-16","10:02:00","21:40","19.0",,
"6","2014-09-16","10:02:00","22:00","18.3",,
"6","2014-09-16","10:02:00","22:20","17.5",,
"6","2014-09-16","10:02:00","22:40","16.9",,
"6","2014-09-16","10:02:00","23:00","16.5",,
"6","2014-09-16","10:02:00","23:20","16.3",,
"6","2014-09-16","10:02:00","23:40","15.6",,
"6","2014-09-16","10:02:00","24:00","14.0",,
"6","2014-09-16","10:02:00","24:20","14.0",,
"6","2014-09-16","10:02:00","24:40","14.5",,
"6","2014-09-16","10:02:00","25:00","15.2",,
"6","2014-09-16","10:02:00","25:20","15.2",,
"6","2014-09-16","10:02:00","25:40","14.7",,
"6","2014-09-16","10:02:00","26:00","13.9",,
"6","2014-09-16","10:02:00","26:20","13.4",,
"6","2014-09-16","10:02:00","26:40","13.7",,
"6","2014-09-16","10:02:00","27:00","13.7",,
"6","2014-09-16","10:02:00","27:20","13.5",,
"6","2014-09-16","10:02:00","27:40","13.0",,
"6","2014-09-16","10:02:00","28:00","12.9",,
"6","2014-09-16","10:02:00","28:20","12.9",,
"6","2014-09-16","10:02:00","28:40","12.4",,
"6","2014-09-16","10:02:00","29:00","12.2",,
"6","2014-09-16","10:02:00","29:20","11.6",,
"6","2014-09-16","10:02:00","29:40","11.2",,
"6","2014-09-16","10:02:00","30:00","10.4",,
"6","2014-09-16","10:02:00","30:20","9.5",,
"6","2014-09-16","10:02:00","30:40","9.2",,
"6","2014-09-16","10:02:00","31:00","9.4",,
"6","2014-09-16","10:02:00","31:20","8.6",,
"6","2014-09-16","10:02:00","31:40","7.5",,
"6","2014-09-16","10:02:00","32:00","6.4",,
"6","2014-09-16","10:02:00","32:20","6.0",,
"6","2014-09-16","10:02:00","32:40","5.4",,
"6","2014-09-16","10:02:00","33:00","5.6",,
"6","2014-09-16","10:02:00","33:20","5.6",,
"6","2014-09-16","10:02:00","33:40","5.2",,
"6","2014-09-16","10:02:00","34:00","5.0",,
"6","2014-09-16","10:02:00","34:20","4.5",,
"6","2014-09-16","10:02:00","34:40","3.5",,
"6","2014-09-16","10:02:00","35:00","3.0",,
"6","2014-09-16","10:02:00","35:20","2.3",,
"6","2014-09-16","10:02:00","35:40","0.8",,
"6","2014-09-16","10:02:00","36:00","0.8",,
