"pure-name" global-time depth color-temp color-tint1 color-tint2 
DSC03417 1410938875 5.95 8171 123 -1 
DSC03418 1410938971 10.88 11719 183 -1 
DSC03421 1410939030 14.50 12104 191 -1 
DSC03423 1410939144 19.16 16208 197 -1 
DSC03425 1410939186 21.11 16643 198 -1 
DSC03427 1410939248 25.58 18264 196 -1 
DSC03430 1410939305 27.65 19598 197 -1 
DSC03432 1410939352 28.14 20933 196 -1 
DSC03433 1410939387 28.22 22922 189 -1 
DSC03439 1410939421 29.02 21768 192 -1 
DSC03441 1410939480 29.4 22011 189 -1 
DSC03444 1410939506 29.68 21906 192 -1 
DSC03450 1410939556 29.32 22391 193 -1 
DSC03451 1410939558 29.31 22863 191 -1 
DSC03454 1410939588 28.80 20717 194 -1 
DSC03457 1410939618 28.35 20354 197 -1 
DSC03460 1410939663 27.70 21143 194 -1 
DSC03462 1410939690 27.25 22322 190 -1 
DSC03472 1410939762 26.93 22477 195 -1 
DSC03475 1410939810 27.65 19916 199 -1 
DSC03483 1410939909 27.40 22115 193 -1 
DSC03486 1410939941 27.40 21437 193 -1 
DSC03487 1410939976 27.38 21622 193 -1 
DSC03491 1410940042 26.88 23203 190 -1 
DSC03493 1410940070 26.65 22970 186 -1 
DSC03494 1410940114 26.04 19275 200 -1 
DSC03500 1410940160 25.8 21428 194 -1 
DSC03503 1410940228 23.06 19742 198 -1 
DSC03505 1410940269 19.82 17086 202 -1 
DSC03508 1410940289 18.32 16415 203 -1 
DSC03511 1410940313 16.91 17222 200 -1 
DSC03515 1410940402 13.16 14476 198 -1 
DSC03517 1410940500 9.0 11888 190 -1 
DSC03519 1410940521 8.60 12287 180 -1 
DSC03522 1410940568 7.62 11958 185 -1 
DSC03523 1410940754 3.50 8487 129 -1 
DSC03527 1410940796 3.50 8800 137 -1 
