"pure-name" global-time depth color-temp color-tint 
DSC03416 1410938865 5.25 10141 157  
DSC03419 1410938986 12.20 12055 189  
DSC03420 1410939000 13.6 12085 190  
DSC03422 1410939137 18.81 14500 193  
DSC03424 1410939151 19.61 14945 193  
DSC03426 1410939245 25.40 18164 196  
DSC03428 1410939265 26.57 18902 196  
DSC03429 1410939296 27.48 19488 197  
DSC03431 1410939347 28.16 20149 197  
DSC03434 1410939399 28.75 20570 197  
DSC03435 1410939405 28.85 20624 197  
DSC03436 1410939410 28.90 20651 197  
DSC03437 1410939412 28.92 20662 197  
DSC03438 1410939413 28.93 20667 197  
DSC03440 1410939476 29.26 20845 197  
DSC03442 1410939496 29.72 21094 197  
DSC03443 1410939502 29.76 21115 197  
DSC03445 1410939546 29.37 20905 197  
DSC03446 1410939548 29.36 20899 197  
DSC03447 1410939549 29.36 20899 197  
DSC03448 1410939552 29.34 20889 197  
DSC03449 1410939553 29.34 20889 197  
DSC03452 1410939579 28.82 20608 197  
DSC03453 1410939581 28.80 20597 197  
DSC03455 1410939610 28.55 20462 197  
DSC03456 1410939612 28.50 20435 197  
DSC03458 1410939625 28.30 20300 197  
DSC03459 1410939657 27.88 19846 197  
DSC03461 1410939687 27.21 19314 197  
DSC03463 1410939710 27.30 19372 197  
DSC03464 1410939721 27.18 19295 197  
DSC03465 1410939730 26.95 19147 197  
DSC03466 1410939732 26.90 19115 197  
DSC03467 1410939737 26.77 19031 197  
DSC03468 1410939739 26.72 18999 197  
DSC03469 1410939744 26.74 19012 197  
DSC03470 1410939745 26.75 19018 197  
DSC03471 1410939757 26.87 19095 197  
DSC03473 1410939769 27.04 19205 197  
DSC03474 1410939778 27.17 19289 197  
DSC03476 1410939873 27.66 19609 197  
DSC03477 1410939879 27.70 19652 197  
DSC03478 1410939880 27.7 19652 197  
DSC03479 1410939890 27.55 19534 197  
DSC03480 1410939892 27.52 19514 197  
DSC03481 1410939894 27.49 19495 197  
DSC03482 1410939907 27.40 19437 197  
DSC03484 1410939920 27.4 19437 197  
DSC03485 1410939937 27.40 19437 197  
DSC03488 1410939982 27.40 19437 197  
DSC03489 1410939984 27.40 19437 197  
DSC03490 1410940039 26.91 19121 197  
DSC03492 1410940067 26.66 18960 197  
DSC03495 1410940120 25.8 18406 196  
DSC03496 1410940148 25.50 18220 196  
DSC03497 1410940153 25.63 18296 196  
DSC03498 1410940154 25.65 18309 196  
DSC03499 1410940156 25.70 18341 196  
DSC03501 1410940180 25.5 18220 196  
DSC03502 1410940218 23.73 17235 195  
DSC03504 1410940264 20.20 15273 194  
DSC03506 1410940283 18.77 14478 193  
DSC03507 1410940285 18.63 14400 193  
DSC03509 1410940305 17.27 13644 192  
DSC03510 1410940311 17.00 13494 192  
DSC03512 1410940319 16.65 13299 192  
DSC03513 1410940366 14.44 12103 191  
DSC03514 1410940377 14.33 12100 191  
DSC03516 1410940415 12.90 12070 190  
DSC03518 1410940518 8.64 11980 186  
DSC03520 1410940529 8.60 11979 186  
DSC03521 1410940533 8.60 11979 186  
DSC03524 1410940766 3.50 8800 137  
DSC03525 1410940774 3.50 8800 137  
DSC03526 1410940793 3.50 8800 137  
DSC03528 1410940802 3.51 8808 137  
DSC03529 1410940811 3.56 8846 138  
