pure-name global-time depth color-temp color-tint1 color-tint2 
DSC03246 1410765595 3.20 8039 0.7120 1.0000 
DSC03236 1410682794 4.01 15236 0.5230 1.0000 
DSC03248 1410765671 5.18 31263 0.4380 1.0000 
DSC03417 1410938875 5.95 6610 0.7540 1.2000 
DSC03407 1410852837 6.57 44066 0.3700 1.2000 
DSC03298 1410767123 7.59 32080 0.4030 1.3000 
DSC03519 1410940521 8.60 8898 0.6220 1.5000 
DSC03289 1410766780 10.9 12803 0.5210 1.5000 
DSC03286 1410766718 11.77 17051 0.4890 1.5000 
DSC03403 1410852585 12.98 27481 0.4500 1.5000 
DSC03401 1410852359 14.08 40465 0.4010 1.5000 
DSC03425 1410939186 21.11 48767 0.3820 1.5000 
DSC03500 1410940160 25.8 59999 0.3740 1.5000 
DSC03430 1410939305 27.65 59999 0.3730 1.5000 
