"pure-name" global-time depth color-temp color-tint 
DSC03416 1410938865 5.25 29022 0.4667 1.0182 
DSC03419 1410938986 12.20 20758 0.4751 1.5000 
DSC03420 1410939000 13.6 34799 0.4224 1.5000 
DSC03422 1410939137 18.81 46051 0.3882 1.5000 
DSC03424 1410939151 19.61 46996 0.3861 1.5000 
DSC03426 1410939245 25.40 59041 0.3747 1.5000 
DSC03428 1410939265 26.57 59999 0.3736 1.5000 
DSC03429 1410939296 27.48 59999 0.3731 1.5000 
DSC03431 1410939347 28.16 59999 0.3729 1.5000 
DSC03434 1410939399 28.75 59999 0.3727 1.5000 
DSC03435 1410939405 28.85 59999 0.3727 1.5000 
DSC03436 1410939410 28.90 59999 0.3727 1.5000 
DSC03437 1410939412 28.92 59999 0.3727 1.5000 
DSC03438 1410939413 28.93 59999 0.3727 1.5000 
DSC03440 1410939476 29.26 59999 0.3726 1.5000 
DSC03442 1410939496 29.72 59999 0.3724 1.5000 
DSC03443 1410939502 29.76 59999 0.3724 1.5000 
DSC03445 1410939546 29.37 59999 0.3725 1.5000 
DSC03446 1410939548 29.36 59999 0.3725 1.5000 
DSC03447 1410939549 29.36 59999 0.3725 1.5000 
DSC03448 1410939552 29.34 59999 0.3725 1.5000 
DSC03449 1410939553 29.34 59999 0.3725 1.5000 
DSC03452 1410939579 28.82 59999 0.3727 1.5000 
DSC03453 1410939581 28.80 59999 0.3727 1.5000 
DSC03455 1410939610 28.55 59999 0.3728 1.5000 
DSC03456 1410939612 28.50 59999 0.3728 1.5000 
DSC03458 1410939625 28.30 59999 0.3728 1.5000 
DSC03459 1410939657 27.88 59999 0.3729 1.5000 
DSC03461 1410939687 27.21 59999 0.3732 1.5000 
DSC03463 1410939710 27.30 59999 0.3732 1.5000 
DSC03464 1410939721 27.18 59999 0.3733 1.5000 
DSC03465 1410939730 26.95 59999 0.3734 1.5000 
DSC03466 1410939732 26.90 59999 0.3734 1.5000 
DSC03467 1410939737 26.77 59999 0.3735 1.5000 
DSC03468 1410939739 26.72 59999 0.3735 1.5000 
DSC03469 1410939744 26.74 59999 0.3735 1.5000 
DSC03470 1410939745 26.75 59999 0.3735 1.5000 
DSC03471 1410939757 26.87 59999 0.3734 1.5000 
DSC03473 1410939769 27.04 59999 0.3733 1.5000 
DSC03474 1410939778 27.17 59999 0.3733 1.5000 
DSC03476 1410939873 27.66 59999 0.3730 1.5000 
DSC03477 1410939879 27.70 59999 0.3730 1.5000 
DSC03478 1410939880 27.7 59999 0.3730 1.5000 
DSC03479 1410939890 27.55 59999 0.3731 1.5000 
DSC03480 1410939892 27.52 59999 0.3731 1.5000 
DSC03481 1410939894 27.49 59999 0.3731 1.5000 
DSC03482 1410939907 27.40 59999 0.3731 1.5000 
DSC03484 1410939920 27.4 59999 0.3731 1.5000 
DSC03485 1410939937 27.40 59999 0.3731 1.5000 
DSC03488 1410939982 27.40 59999 0.3731 1.5000 
DSC03489 1410939984 27.40 59999 0.3731 1.5000 
DSC03490 1410940039 26.91 59999 0.3734 1.5000 
DSC03492 1410940067 26.66 59999 0.3735 1.5000 
DSC03495 1410940120 25.8 59999 0.3740 1.5000 
DSC03496 1410940148 25.50 59281 0.3745 1.5000 
DSC03497 1410940153 25.63 59592 0.3743 1.5000 
DSC03498 1410940154 25.65 59640 0.3743 1.5000 
DSC03499 1410940156 25.70 59760 0.3742 1.5000 
DSC03501 1410940180 25.5 59281 0.3745 1.5000 
DSC03502 1410940218 23.73 55042 0.3775 1.5000 
DSC03504 1410940264 20.20 47692 0.3845 1.5000 
DSC03506 1410940283 18.77 46004 0.3883 1.5000 
DSC03507 1410940285 18.63 45838 0.3887 1.5000 
DSC03509 1410940305 17.27 44232 0.3924 1.5000 
DSC03510 1410940311 17.00 43913 0.3931 1.5000 
DSC03512 1410940319 16.65 43500 0.3941 1.5000 
DSC03513 1410940366 14.44 40890 0.4000 1.5000 
DSC03514 1410940377 14.33 40760 0.4003 1.5000 
DSC03516 1410940415 12.90 26791 0.4526 1.5000 
DSC03518 1410940518 8.64 8966 0.6202 1.5000 
DSC03520 1410940529 8.60 8898 0.6220 1.5000 
DSC03521 1410940533 8.60 8898 0.6220 1.5000 
DSC03524 1410940766 3.50 10705 0.6420 1.0000 
DSC03525 1410940774 3.50 10705 0.6420 1.0000 
DSC03526 1410940793 3.50 10705 0.6420 1.0000 
DSC03528 1410940802 3.51 10793 0.6397 1.0000 
DSC03529 1410940811 3.56 11238 0.6280 1.0000 
