"dive number","date","time","duration","depth","temperature","pressure"
"4","2014-09-14","10:58:00","0:20","2.8",,
"4","2014-09-14","10:58:00","0:40","3.6",,
"4","2014-09-14","10:58:00","1:00","3.8",,
"4","2014-09-14","10:58:00","1:20","4.2",,
"4","2014-09-14","10:58:00","1:40","4.1",,
"4","2014-09-14","10:58:00","2:00","4.5",,
"4","2014-09-14","10:58:00","2:20","4.7",,
"4","2014-09-14","10:58:00","2:40","4.4",,
"4","2014-09-14","10:58:00","3:00","4.6",,
"4","2014-09-14","10:58:00","3:20","5.1",,
"4","2014-09-14","10:58:00","3:40","6.0",,
"4","2014-09-14","10:58:00","4:00","6.6",,
"4","2014-09-14","10:58:00","4:20","8.8",,
"4","2014-09-14","10:58:00","4:40","10.6",,
"4","2014-09-14","10:58:00","5:00","11.9",,
"4","2014-09-14","10:58:00","5:20","13.9",,
"4","2014-09-14","10:58:00","5:40","14.5",,
"4","2014-09-14","10:58:00","6:00","16.5",,
"4","2014-09-14","10:58:00","6:20","16.7",,
"4","2014-09-14","10:58:00","6:40","17.5",,
"4","2014-09-14","10:58:00","7:00","18.2",,
"4","2014-09-14","10:58:00","7:20","19.1",,
"4","2014-09-14","10:58:00","7:40","20.0",,
"4","2014-09-14","10:58:00","8:00","20.8",,
"4","2014-09-14","10:58:00","8:20","20.9",,
"4","2014-09-14","10:58:00","8:40","20.5",,
"4","2014-09-14","10:58:00","9:00","19.0",,
"4","2014-09-14","10:58:00","9:20","18.3",,
"4","2014-09-14","10:58:00","9:40","19.6",,
"4","2014-09-14","10:58:00","10:00","20.8",,
"4","2014-09-14","10:58:00","10:20","21.0",,
"4","2014-09-14","10:58:00","10:40","20.1",,
"4","2014-09-14","10:58:00","11:00","19.1",,
"4","2014-09-14","10:58:00","11:20","18.1",,
"4","2014-09-14","10:58:00","11:40","18.0",,
"4","2014-09-14","10:58:00","12:00","16.7",,
"4","2014-09-14","10:58:00","12:20","16.6",,
"4","2014-09-14","10:58:00","12:40","16.5",,
"4","2014-09-14","10:58:00","13:00","16.6",,
"4","2014-09-14","10:58:00","13:20","16.1",,
"4","2014-09-14","10:58:00","13:40","15.6",,
"4","2014-09-14","10:58:00","14:00","14.8",,
"4","2014-09-14","10:58:00","14:20","14.9",,
"4","2014-09-14","10:58:00","14:40","14.0",,
"4","2014-09-14","10:58:00","15:00","13.6",,
"4","2014-09-14","10:58:00","15:20","13.5",,
"4","2014-09-14","10:58:00","15:40","14.3",,
"4","2014-09-14","10:58:00","16:00","14.6",,
"4","2014-09-14","10:58:00","16:20","14.7",,
"4","2014-09-14","10:58:00","16:40","13.4",,
"4","2014-09-14","10:58:00","17:00","10.9",,
"4","2014-09-14","10:58:00","17:20","9.1",,
"4","2014-09-14","10:58:00","17:40","9.0",,
"4","2014-09-14","10:58:00","18:00","8.0",,
"4","2014-09-14","10:58:00","18:20","7.0",,
"4","2014-09-14","10:58:00","18:40","6.7",,
"4","2014-09-14","10:58:00","19:00","6.9",,
"4","2014-09-14","10:58:00","19:20","6.9",,
"4","2014-09-14","10:58:00","19:40","7.1",,
"4","2014-09-14","10:58:00","20:00","6.7",,
"4","2014-09-14","10:58:00","20:20","7.0",,
"4","2014-09-14","10:58:00","20:40","6.7",,
"4","2014-09-14","10:58:00","21:00","5.4",,
"4","2014-09-14","10:58:00","21:20","5.0",,
"4","2014-09-14","10:58:00","21:40","4.5",,
"4","2014-09-14","10:58:00","22:00","3.8",,
"4","2014-09-14","10:58:00","22:20","4.2",,
"4","2014-09-14","10:58:00","22:40","4.8",,
"4","2014-09-14","10:58:00","23:00","4.8",,
"4","2014-09-14","10:58:00","23:20","4.7",,
"4","2014-09-14","10:58:00","23:40","4.8",,
"4","2014-09-14","10:58:00","24:00","3.9",,
"4","2014-09-14","10:58:00","24:20","3.7",,
"4","2014-09-14","10:58:00","24:40","3.2",,
"4","2014-09-14","10:58:00","25:00","3.2",,
"4","2014-09-14","10:58:00","25:20","3.2",,
"4","2014-09-14","10:58:00","25:40","2.9",,
"4","2014-09-14","10:58:00","26:00","2.8",,
"4","2014-09-14","10:58:00","26:20","2.2",,
"4","2014-09-14","10:58:00","26:40","1.2",,
