"dive number","date","time","duration","depth","temperature","pressure"
"2","2010-11-07","21:07:00","0:20","3.1",,
"2","2010-11-07","21:07:00","0:40","3.2",,
"2","2010-11-07","21:07:00","1:00","3.3",,
"2","2010-11-07","21:07:00","1:20","4.0",,
"2","2010-11-07","21:07:00","1:40","4.1",,
"2","2010-11-07","21:07:00","2:00","4.1",,
"2","2010-11-07","21:07:00","2:20","3.5",,
"2","2010-11-07","21:07:00","2:40","3.6",,
"2","2010-11-07","21:07:00","3:00","3.6",,
"2","2010-11-07","21:07:00","3:20","3.7",,
"2","2010-11-07","21:07:00","3:40","3.8",,
"2","2010-11-07","21:07:00","4:00","3.9",,
"2","2010-11-07","21:07:00","4:20","4.0",,
"2","2010-11-07","21:07:00","4:40","4.5",,
"2","2010-11-07","21:07:00","5:00","4.5",,
"2","2010-11-07","21:07:00","5:20","4.7",,
"2","2010-11-07","21:07:00","5:40","4.6",,
"2","2010-11-07","21:07:00","6:00","4.8",,
"2","2010-11-07","21:07:00","6:20","4.9",,
"2","2010-11-07","21:07:00","6:40","5.1",,
"2","2010-11-07","21:07:00","7:00","4.9",,
"2","2010-11-07","21:07:00","7:20","4.9",,
"2","2010-11-07","21:07:00","7:40","5.2",,
"2","2010-11-07","21:07:00","8:00","5.4",,
"2","2010-11-07","21:07:00","8:20","5.4",,
"2","2010-11-07","21:07:00","8:40","5.7",,
"2","2010-11-07","21:07:00","9:00","5.5",,
"2","2010-11-07","21:07:00","9:20","5.6",,
"2","2010-11-07","21:07:00","9:40","5.7",,
"2","2010-11-07","21:07:00","10:00","5.6",,
"2","2010-11-07","21:07:00","10:20","5.1",,
"2","2010-11-07","21:07:00","10:40","4.8",,
"2","2010-11-07","21:07:00","11:00","5.0",,
"2","2010-11-07","21:07:00","11:20","4.7",,
"2","2010-11-07","21:07:00","11:40","4.7",,
"2","2010-11-07","21:07:00","12:00","4.4",,
"2","2010-11-07","21:07:00","12:20","4.4",,
"2","2010-11-07","21:07:00","12:40","4.4",,
"2","2010-11-07","21:07:00","13:00","4.3",,
"2","2010-11-07","21:07:00","13:20","4.2",,
"2","2010-11-07","21:07:00","13:40","4.5",,
"2","2010-11-07","21:07:00","14:00","3.8",,
"2","2010-11-07","21:07:00","14:20","3.7",,
"2","2010-11-07","21:07:00","14:40","4.6",,
"2","2010-11-07","21:07:00","15:00","4.8",,
"2","2010-11-07","21:07:00","15:20","4.5",,
"2","2010-11-07","21:07:00","15:40","4.5",,
"2","2010-11-07","21:07:00","16:00","4.2",,
