"dive number","date","time","duration","depth","temperature","pressure"
"3","2014-09-06","08:56:00","0:20","4.7",,
"3","2014-09-06","08:56:00","0:40","5.3",,
"3","2014-09-06","08:56:00","1:00","5.4",,
"3","2014-09-06","08:56:00","1:20","6.2",,
"3","2014-09-06","08:56:00","1:40","6.3",,
"3","2014-09-06","08:56:00","2:00","5.9",,
"3","2014-09-06","08:56:00","2:20","6.0",,
"3","2014-09-06","08:56:00","2:40","5.9",,
"3","2014-09-06","08:56:00","3:00","5.4",,
"3","2014-09-06","08:56:00","3:20","5.3",,
"3","2014-09-06","08:56:00","3:40","5.4",,
"3","2014-09-06","08:56:00","4:00","5.7",,
"3","2014-09-06","08:56:00","4:20","5.5",,
"3","2014-09-06","08:56:00","4:40","5.8",,
"3","2014-09-06","08:56:00","5:00","6.3",,
"3","2014-09-06","08:56:00","5:20","6.6",,
"3","2014-09-06","08:56:00","5:40","6.8",,
"3","2014-09-06","08:56:00","6:00","6.8",,
"3","2014-09-06","08:56:00","6:20","6.9",,
"3","2014-09-06","08:56:00","6:40","7.0",,
"3","2014-09-06","08:56:00","7:00","7.1",,
"3","2014-09-06","08:56:00","7:20","7.2",,
"3","2014-09-06","08:56:00","7:40","7.1",,
"3","2014-09-06","08:56:00","8:00","7.4",,
"3","2014-09-06","08:56:00","8:20","7.3",,
"3","2014-09-06","08:56:00","8:40","7.5",,
"3","2014-09-06","08:56:00","9:00","7.2",,
"3","2014-09-06","08:56:00","9:20","7.4",,
"3","2014-09-06","08:56:00","9:40","7.2",,
"3","2014-09-06","08:56:00","10:00","7.2",,
"3","2014-09-06","08:56:00","10:20","7.4",,
"3","2014-09-06","08:56:00","10:40","7.7",,
"3","2014-09-06","08:56:00","11:00","7.4",,
"3","2014-09-06","08:56:00","11:20","7.2",,
"3","2014-09-06","08:56:00","11:40","7.4",,
"3","2014-09-06","08:56:00","12:00","7.4",,
"3","2014-09-06","08:56:00","12:20","7.6",,
"3","2014-09-06","08:56:00","12:40","7.7",,
"3","2014-09-06","08:56:00","13:00","7.4",,
"3","2014-09-06","08:56:00","13:20","7.1",,
"3","2014-09-06","08:56:00","13:40","6.9",,
"3","2014-09-06","08:56:00","14:00","7.5",,
"3","2014-09-06","08:56:00","14:20","7.5",,
"3","2014-09-06","08:56:00","14:40","7.3",,
"3","2014-09-06","08:56:00","15:00","7.4",,
"3","2014-09-06","08:56:00","15:20","7.5",,
"3","2014-09-06","08:56:00","15:40","7.7",,
"3","2014-09-06","08:56:00","16:00","7.9",,
"3","2014-09-06","08:56:00","16:20","7.4",,
"3","2014-09-06","08:56:00","16:40","7.3",,
"3","2014-09-06","08:56:00","17:00","6.8",,
"3","2014-09-06","08:56:00","17:20","6.8",,
