"dive number","date","time","duration","depth","temperature","pressure"
"8","2014-11-20","10:26:00","0:20","3.0",,
"8","2014-11-20","10:26:00","0:40","3.6",,
"8","2014-11-20","10:26:00","1:00","4.3",,
"8","2014-11-20","10:26:00","1:20","5.3",,
"8","2014-11-20","10:26:00","1:40","6.6",,
"8","2014-11-20","10:26:00","2:00","9.1",,
"8","2014-11-20","10:26:00","2:20","11.2",,
"8","2014-11-20","10:26:00","2:40","13.6",,
"8","2014-11-20","10:26:00","3:00","15.7",,
"8","2014-11-20","10:26:00","3:20","17.0",,
"8","2014-11-20","10:26:00","3:40","18.6",,
"8","2014-11-20","10:26:00","4:00","20.4",,
"8","2014-11-20","10:26:00","4:20","21.8",,
"8","2014-11-20","10:26:00","4:40","23.7",,
"8","2014-11-20","10:26:00","5:00","25.1",,
"8","2014-11-20","10:26:00","5:20","26.4",,
"8","2014-11-20","10:26:00","5:40","26.6",,
"8","2014-11-20","10:26:00","6:00","27.2",,
"8","2014-11-20","10:26:00","6:20","27.1",,
"8","2014-11-20","10:26:00","6:40","26.6",,
"8","2014-11-20","10:26:00","7:00","26.7",,
"8","2014-11-20","10:26:00","7:20","27.6",,
"8","2014-11-20","10:26:00","7:40","28.4",,
"8","2014-11-20","10:26:00","8:00","28.6",,
"8","2014-11-20","10:26:00","8:20","28.1",,
"8","2014-11-20","10:26:00","8:40","29.1",,
"8","2014-11-20","10:26:00","9:00","29.4",,
"8","2014-11-20","10:26:00","9:20","29.9",,
"8","2014-11-20","10:26:00","9:40","30.1",,
"8","2014-11-20","10:26:00","10:00","29.8",,
"8","2014-11-20","10:26:00","10:20","29.7",,
"8","2014-11-20","10:26:00","10:40","30.0",,
"8","2014-11-20","10:26:00","11:00","30.1",,
"8","2014-11-20","10:26:00","11:20","30.0",,
"8","2014-11-20","10:26:00","11:40","30.0",,
"8","2014-11-20","10:26:00","12:00","29.9",,
"8","2014-11-20","10:26:00","12:20","29.9",,
"8","2014-11-20","10:26:00","12:40","29.0",,
"8","2014-11-20","10:26:00","13:00","28.7",,
"8","2014-11-20","10:26:00","13:20","29.0",,
"8","2014-11-20","10:26:00","13:40","28.7",,
"8","2014-11-20","10:26:00","14:00","28.4",,
"8","2014-11-20","10:26:00","14:20","27.9",,
"8","2014-11-20","10:26:00","14:40","27.9",,
"8","2014-11-20","10:26:00","15:00","27.6",,
"8","2014-11-20","10:26:00","15:20","27.6",,
"8","2014-11-20","10:26:00","15:40","27.9",,
"8","2014-11-20","10:26:00","16:00","27.3",,
"8","2014-11-20","10:26:00","16:20","27.2",,
"8","2014-11-20","10:26:00","16:40","26.7",,
"8","2014-11-20","10:26:00","17:00","25.6",,
"8","2014-11-20","10:26:00","17:20","25.3",,
"8","2014-11-20","10:26:00","17:40","24.6",,
"8","2014-11-20","10:26:00","18:00","24.4",,
"8","2014-11-20","10:26:00","18:20","23.9",,
"8","2014-11-20","10:26:00","18:40","23.0",,
"8","2014-11-20","10:26:00","19:00","23.6",,
"8","2014-11-20","10:26:00","19:20","23.5",,
"8","2014-11-20","10:26:00","19:40","23.5",,
"8","2014-11-20","10:26:00","20:00","23.2",,
"8","2014-11-20","10:26:00","20:20","22.5",,
"8","2014-11-20","10:26:00","20:40","22.0",,
"8","2014-11-20","10:26:00","21:00","21.7",,
"8","2014-11-20","10:26:00","21:20","21.3",,
"8","2014-11-20","10:26:00","21:40","20.6",,
"8","2014-11-20","10:26:00","22:00","20.4",,
"8","2014-11-20","10:26:00","22:20","19.3",,
"8","2014-11-20","10:26:00","22:40","18.3",,
"8","2014-11-20","10:26:00","23:00","17.1",,
"8","2014-11-20","10:26:00","23:20","15.9",,
"8","2014-11-20","10:26:00","23:40","15.0",,
"8","2014-11-20","10:26:00","24:00","14.8",,
"8","2014-11-20","10:26:00","24:20","13.4",,
"8","2014-11-20","10:26:00","24:40","11.8",,
"8","2014-11-20","10:26:00","25:00","11.5",,
"8","2014-11-20","10:26:00","25:20","11.2",,
"8","2014-11-20","10:26:00","25:40","8.8",,
"8","2014-11-20","10:26:00","26:00","7.3",,
"8","2014-11-20","10:26:00","26:20","6.7",,
